시도,시군구,업종,당월
강원특별자치도,속초시,장난감가게,8
강원특별자치도,속초시,정육점,43
강원특별자치도,속초시,제과점,84
강원특별자치도,속초시,종합병원,8
강원특별자치도,속초시,주유소,18
강원특별자치도,속초시,주차장운영업,24
강원특별자치도,속초시,중고차판매점,5
강원특별자치도,속초시,중식음식점,64
강원특별자치도,속초시,채소가게,24
강원특별자치도,속초시,철물점,27
강원특별자치도,속초시,치과의원,36
강원특별자치도,속초시,침구ㆍ커튼가게,25
강원특별자치도,속초시,커피음료점,229
강원특별자치도,속초시,컴퓨터판매점,9
강원특별자치도,속초시,통신판매업,518
강원특별자치도,속초시,패스트푸드점,118
강원특별자치도,속초시,펜션ㆍ게스트하우스,156
강원특별자치도,속초시,편의점,171
강원특별자치도,속초시,피부ㆍ비뇨기과의원,6
강원특별자치도,속초시,피부관리업,123
강원특별자치도,속초시,한방병원ㆍ한의원,23
강원특별자치도,속초시,한식음식점,1572
강원특별자치도,속초시,헬스클럽,14
강원특별자치도,속초시,호프주점,63
강원특별자치도,속초시,화장품가게,89
강원특별자치도,속초시,휴대폰가게,60
강원특별자치도,양구군,LPG 충전소,0
강원특별자치도,양구군,pc방,10
강원특별자치도,양구군,가구점,0
강원특별자치도,양구군,가전제품수리점,12
강원특별자치도,양구군,가전제품판매점,5
강원특별자치도,양구군,간이주점,0
강원특별자치도,양구군,간판광고물업,5
강원특별자치도,양구군,건강보조식품가게,9
강원특별자치도,양구군,건어물가게,0
강원특별자치도,양구군,건축사,5
강원특별자치도,양구군,결혼상담소,0
강원특별자치도,양구군,곡물가게,13
강원특별자치도,양구군,과일가게,18
강원특별자치도,양구군,교습소ㆍ공부방,5
강원특별자치도,양구군,교습학원,11
강원특별자치도,양구군,구내식당,7
강원특별자치도,양구군,기술ㆍ직업훈련학원,9
강원특별자치도,양구군,기술사,0
강원특별자치도,양구군,기타외국식음식점,8
강원특별자치도,양구군,기타음식점,10
강원특별자치도,양구군,기타일반의원,0
강원특별자치도,양구군,꽃가게,16
강원특별자치도,양구군,내과ㆍ소아과의원,4
강원특별자치도,양구군,노래방,6
강원특별자치도,양구군,담배ㆍ복권소매업,9
강원특별자치도,양구군,당구장,10
강원특별자치도,양구군,동물병원,0
강원특별자치도,양구군,목욕탕,0
강원특별자치도,양구군,문구점,6
강원특별자치도,양구군,미용실,52
강원특별자치도,양구군,법무사,5
강원특별자치도,양구군,부동산중개업,20
강원특별자치도,양구군,분식점,30
강원특별자치도,양구군,사진촬영업,5
강원특별자치도,양구군,생선가게,0
강원특별자치도,양구군,서점,0
강원특별자치도,양구군,세무사,0
강원특별자치도,양구군,세탁소,14
강원특별자치도,양구군,슈퍼마켓,16
강원특별자치도,양구군,스포츠교육기관,6
강원특별자치도,양구군,스포츠시설운영업,7
강원특별자치도,양구군,스포츠용품점,6
강원특별자치도,양구군,시계ㆍ귀금속점,3
강원특별자치도,양구군,식료품가게,36
강원특별자치도,양구군,신발가게,0
강원특별자치도,양구군,실내스크린골프점,4
강원특별자치도,양구군,실내장식가게,24
강원특별자치도,양구군,실외골프연습장,3
강원특별자치도,양구군,안경점,3
강원특별자치도,양구군,애완용품점,3
강원특별자치도,양구군,약국,8
강원특별자치도,양구군,여관ㆍ모텔,40
강원특별자치도,양구군,여행사,3
강원특별자치도,양구군,예술학원,12
강원특별자치도,양구군,옷가게,34
강원특별자치도,양구군,의료용품가게,0
강원특별자치도,양구군,이륜자동차판매점,3
강원특별자치도,양구군,이발소,8
강원특별자치도,양구군,일반외과의원,0
강원특별자치도,양구군,일식음식점,4
강원특별자치도,양구군,자동차수리점,28
강원특별자치도,양구군,자전거판매점,0
강원특별자치도,양구군,장난감가게,0
강원특별자치도,양구군,정육점,16
강원특별자치도,양구군,제과점,7
강원특별자치도,양구군,종합병원,0
강원특별자치도,양구군,주유소,9
강원특별자치도,양구군,중고차판매점,0
강원특별자치도,양구군,중식음식점,24
강원특별자치도,양구군,채소가게,29
강원특별자치도,양구군,철물점,12
강원특별자치도,양구군,치과의원,5
강원특별자치도,양구군,커피음료점,37
강원특별자치도,양구군,컴퓨터판매점,0
강원특별자치도,양구군,통신판매업,104
강원특별자치도,양구군,패스트푸드점,45
강원특별자치도,양구군,펜션ㆍ게스트하우스,90
강원특별자치도,양구군,편의점,20
강원특별자치도,양구군,피부관리업,14
강원특별자치도,양구군,한방병원ㆍ한의원,4
강원특별자치도,양구군,한식음식점,303
강원특별자치도,양구군,헬스클럽,0
강원특별자치도,양구군,호프주점,14
강원특별자치도,양구군,화장품가게,6
강원특별자치도,양구군,휴대폰가게,8
강원특별자치도,양양군,LPG 충전소,4
강원특별자치도,양양군,pc방,0
강원특별자치도,양양군,가구점,3
강원특별자치도,양양군,가전제품수리점,10
강원특별자치도,양양군,가전제품판매점,8
강원특별자치도,양양군,간이주점,3
강원특별자치도,양양군,간판광고물업,7
강원특별자치도,양양군,감정평가사,0
강원특별자치도,양양군,건강보조식품가게,9
강원특별자치도,양양군,건어물가게,46
강원특별자치도,양양군,건축사,4
강원특별자치도,양양군,곡물가게,6
강원특별자치도,양양군,과일가게,9
강원특별자치도,양양군,교습소ㆍ공부방,29
강원특별자치도,양양군,교습학원,12
강원특별자치도,양양군,구내식당,8
강원특별자치도,양양군,기술ㆍ직업훈련학원,11
강원특별자치도,양양군,기타외국식음식점,43
강원특별자치도,양양군,기타음식점,24
강원특별자치도,양양군,꽃가게,21
강원특별자치도,양양군,내과ㆍ소아과의원,4
강원특별자치도,양양군,노래방,12
강원특별자치도,양양군,담배ㆍ복권소매업,15
강원특별자치도,양양군,당구장,19
강원특별자치도,양양군,독서실,3
강원특별자치도,양양군,동물병원,3
강원특별자치도,양양군,목욕탕,5
강원특별자치도,양양군,문구점,5
강원특별자치도,양양군,미용실,46
강원특별자치도,양양군,법무사,4
강원특별자치도,양양군,변호사,0
강원특별자치도,양양군,부동산중개업,58
강원특별자치도,양양군,분식점,28
강원특별자치도,양양군,사진촬영업,7
강원특별자치도,양양군,생선가게,19
강원특별자치도,양양군,서점,4
강원특별자치도,양양군,세무사,0
강원특별자치도,양양군,세탁소,12
강원특별자치도,양양군,슈퍼마켓,23
강원특별자치도,양양군,스포츠교육기관,20
강원특별자치도,양양군,스포츠시설운영업,3
강원특별자치도,양양군,스포츠용품점,31
강원특별자치도,양양군,시계ㆍ귀금속점,0
강원특별자치도,양양군,식료품가게,94
강원특별자치도,양양군,신발가게,3
강원특별자치도,양양군,실내스크린골프점,4
강원특별자치도,양양군,실내장식가게,40
강원특별자치도,양양군,실외골프연습장,0
강원특별자치도,양양군,안경점,4
강원특별자치도,양양군,애완용품점,6
강원특별자치도,양양군,약국,12
강원특별자치도,양양군,여관ㆍ모텔,109
강원특별자치도,양양군,여행사,7
강원특별자치도,양양군,예술학원,9
강원특별자치도,양양군,옷가게,33
강원특별자치도,양양군,의료용품가게,3
강원특별자치도,양양군,이륜자동차판매점,3
강원특별자치도,양양군,이발소,12
강원특별자치도,양양군,일반외과의원,0
강원특별자치도,양양군,일식음식점,55
강원특별자치도,양양군,자동차수리점,30
강원특별자치도,양양군,자전거판매점,0
강원특별자치도,양양군,장난감가게,4
강원특별자치도,양양군,정육점,18
강원특별자치도,양양군,제과점,12
강원특별자치도,양양군,주유소,16
강원특별자치도,양양군,주차장운영업,4
강원특별자치도,양양군,중식음식점,23
강원특별자치도,양양군,채소가게,48
강원특별자치도,양양군,철물점,11
강원특별자치도,양양군,치과의원,4
강원특별자치도,양양군,침구ㆍ커튼가게,6
강원특별자치도,양양군,커피음료점,96
강원특별자치도,양양군,컴퓨터판매점,0
강원특별자치도,양양군,통신판매업,152
강원특별자치도,양양군,패스트푸드점,45
강원특별자치도,양양군,펜션ㆍ게스트하우스,441
강원특별자치도,양양군,편의점,79
강원특별자치도,양양군,피부관리업,13
강원특별자치도,양양군,한방병원ㆍ한의원,4
강원특별자치도,양양군,한식음식점,579
강원특별자치도,양양군,헬스클럽,3
강원특별자치도,양양군,호프주점,13
