업종,시도,당월
세탁소,충청북도,953
슈퍼마켓,강원특별자치도,919
슈퍼마켓,경기도,7665
슈퍼마켓,경상남도,1890
슈퍼마켓,경상북도,1654
슈퍼마켓,광주광역시,775
슈퍼마켓,대구광역시,1484
슈퍼마켓,대전광역시,691
슈퍼마켓,부산광역시,1649
슈퍼마켓,서울특별시,3561
슈퍼마켓,세종특별자치시,172
슈퍼마켓,울산광역시,722
슈퍼마켓,인천광역시,1667
슈퍼마켓,전라남도,1215
슈퍼마켓,전라북도,1008
슈퍼마켓,제주특별자치도,411
슈퍼마켓,충청남도,1221
슈퍼마켓,충청북도,965
스포츠교육기관,강원특별자치도,931
스포츠교육기관,경기도,9344
스포츠교육기관,경상남도,2173
스포츠교육기관,경상북도,1419
스포츠교육기관,광주광역시,1075
스포츠교육기관,대구광역시,1646
스포츠교육기관,대전광역시,1033
스포츠교육기관,부산광역시,2119
스포츠교육기관,서울특별시,6468
스포츠교육기관,세종특별자치시,316
스포츠교육기관,울산광역시,775
스포츠교육기관,인천광역시,1842
스포츠교육기관,전라남도,871
스포츠교육기관,전라북도,1031
스포츠교육기관,제주특별자치도,700
스포츠교육기관,충청남도,1224
스포츠교육기관,충청북도,927
스포츠시설운영업,강원특별자치도,288
스포츠시설운영업,경기도,3020
스포츠시설운영업,경상남도,550
스포츠시설운영업,경상북도,395
스포츠시설운영업,광주광역시,300
스포츠시설운영업,대구광역시,409
스포츠시설운영업,대전광역시,260
스포츠시설운영업,부산광역시,620
스포츠시설운영업,서울특별시,2731
스포츠시설운영업,세종특별자치시,102
스포츠시설운영업,울산광역시,203
스포츠시설운영업,인천광역시,555
스포츠시설운영업,전라남도,183
스포츠시설운영업,전라북도,292
스포츠시설운영업,제주특별자치도,133
스포츠시설운영업,충청남도,298
스포츠시설운영업,충청북도,274
스포츠용품점,강원특별자치도,927
스포츠용품점,경기도,4572
스포츠용품점,경상남도,1375
스포츠용품점,경상북도,1284
스포츠용품점,광주광역시,468
스포츠용품점,대구광역시,688
스포츠용품점,대전광역시,391
스포츠용품점,부산광역시,758
스포츠용품점,서울특별시,1879
스포츠용품점,세종특별자치시,111
스포츠용품점,울산광역시,298
스포츠용품점,인천광역시,711
스포츠용품점,전라남도,966
스포츠용품점,전라북도,945
스포츠용품점,제주특별자치도,526
스포츠용품점,충청남도,1070
스포츠용품점,충청북도,675
시계ㆍ귀금속점,강원특별자치도,223
시계ㆍ귀금속점,경기도,1449
시계ㆍ귀금속점,경상남도,563
시계ㆍ귀금속점,경상북도,426
시계ㆍ귀금속점,광주광역시,292
시계ㆍ귀금속점,대구광역시,530
시계ㆍ귀금속점,대전광역시,257
시계ㆍ귀금속점,부산광역시,817
시계ㆍ귀금속점,서울특별시,1953
시계ㆍ귀금속점,세종특별자치시,28
시계ㆍ귀금속점,울산광역시,225
시계ㆍ귀금속점,인천광역시,392
시계ㆍ귀금속점,전라남도,284
시계ㆍ귀금속점,전라북도,349
시계ㆍ귀금속점,제주특별자치도,106
시계ㆍ귀금속점,충청남도,315
시계ㆍ귀금속점,충청북도,251
식료품가게,강원특별자치도,2773
식료품가게,경기도,9643
식료품가게,경상남도,3711
