업종,시도,시군구,당월,전월,전년동월
건강보조식품가게,대구광역시,남구,48,48,48
건강보조식품가게,대구광역시,북구,102,98,103
건강보조식품가게,대구광역시,수성구,107,106,111
건강보조식품가게,대구광역시,달서구,121,123,122
건강보조식품가게,대구광역시,달성군,53,55,61
건강보조식품가게,대구광역시,군위군,6,6,8
건강보조식품가게,인천광역시,중구,34,34,31
건강보조식품가게,인천광역시,동구,15,15,18
건강보조식품가게,인천광역시,미추홀구,110,108,95
건강보조식품가게,인천광역시,연수구,86,88,81
건강보조식품가게,인천광역시,남동구,105,104,87
건강보조식품가게,인천광역시,부평구,118,118,104
건강보조식품가게,인천광역시,계양구,50,52,55
건강보조식품가게,인천광역시,서구,126,125,104
건강보조식품가게,인천광역시,강화군,152,152,150
건강보조식품가게,인천광역시,옹진군,0,0,0
건강보조식품가게,광주광역시,동구,82,82,88
건강보조식품가게,광주광역시,서구,174,175,161
건강보조식품가게,광주광역시,남구,105,106,116
건강보조식품가게,광주광역시,북구,225,222,225
건강보조식품가게,광주광역시,광산구,126,126,131
건강보조식품가게,대전광역시,동구,79,80,77
건강보조식품가게,대전광역시,중구,111,109,100
건강보조식품가게,대전광역시,서구,219,216,201
건강보조식품가게,대전광역시,유성구,108,109,106
건강보조식품가게,대전광역시,대덕구,60,59,56
건강보조식품가게,울산광역시,중구,40,40,45
건강보조식품가게,울산광역시,남구,99,99,103
건강보조식품가게,울산광역시,동구,32,31,32
건강보조식품가게,울산광역시,북구,34,34,34
건강보조식품가게,울산광역시,울주군,44,44,41
건강보조식품가게,세종특별자치시,세종시,79,77,74
건강보조식품가게,경기도,수원시 장안구,61,62,56
건강보조식품가게,경기도,수원시 권선구,85,86,80
건강보조식품가게,경기도,수원시 팔달구,86,83,84
건강보조식품가게,경기도,수원시 영통구,81,81,82
건강보조식품가게,경기도,성남시 수정구,49,47,46
건강보조식품가게,경기도,성남시 중원구,41,41,48
건강보조식품가게,경기도,성남시 분당구,150,148,141
건강보조식품가게,경기도,의정부시,111,113,107
건강보조식품가게,경기도,안양시 만안구,62,63,65
건강보조식품가게,경기도,안양시 동안구,118,116,114
건강보조식품가게,경기도,부천시,241,238,215
건강보조식품가게,경기도,광명시,63,63,59
건강보조식품가게,경기도,평택시,133,131,139
건강보조식품가게,경기도,동두천시,25,24,25
건강보조식품가게,경기도,안산시 상록구,84,83,73
건강보조식품가게,경기도,안산시 단원구,98,98,94
건강보조식품가게,경기도,고양시 덕양구,95,93,88
건강보조식품가게,경기도,고양시 일산동구,76,77,76
건강보조식품가게,경기도,고양시 일산서구,68,66,57
건강보조식품가게,경기도,과천시,14,14,14
건강보조식품가게,경기도,구리시,56,57,51
건강보조식품가게,경기도,남양주시,177,175,159
건강보조식품가게,경기도,오산시,53,52,49
건강보조식품가게,경기도,시흥시,124,126,119
건강보조식품가게,경기도,군포시,63,62,59
건강보조식품가게,경기도,의왕시,41,40,39
건강보조식품가게,경기도,하남시,92,91,89
건강보조식품가게,경기도,용인시 처인구,58,57,62
건강보조식품가게,경기도,용인시 기흥구,112,113,97
건강보조식품가게,경기도,용인시 수지구,73,71,66
건강보조식품가게,경기도,파주시,96,94,92
건강보조식품가게,경기도,이천시,48,47,44
건강보조식품가게,경기도,안성시,62,62,58
건강보조식품가게,경기도,김포시,136,136,128
건강보조식품가게,경기도,화성시,162,160,151
건강보조식품가게,경기도,광주시,102,103,91
건강보조식품가게,경기도,양주시,77,74,67
건강보조식품가게,경기도,포천시,42,42,40
건강보조식품가게,경기도,여주시,24,24,26
건강보조식품가게,경기도,연천군,22,22,17
건강보조식품가게,경기도,가평군,17,17,18
